time_bucket,errors
"Fri Nov 07 00",6
"Fri Oct 31 00",4
"Fri Oct 31 04",1
"Mon Nov 03 13",14
"Mon Nov 03 14",5
"Mon Nov 03 15",1
"Mon Nov 03 16",6
"Mon Nov 03 21",5
"Mon Nov 03 22",7
"Mon Nov 10 15",816
"Mon Nov 10 16",4
"Mon Nov 10 18",1
"Sat Nov 01 10",2
"Sat Nov 08 11",24
"Sat Nov 08 12",11
"Sun Nov 09 15",11
"Sun Nov 09 17",9
"Thu Nov 06 10",6
"Thu Nov 06 11",4
"Thu Nov 06 14",31
"Thu Nov 06 15",11
"Thu Nov 06 16",22
"Thu Nov 06 17",49
"Thu Nov 06 18",6
"Thu Nov 06 19",24
"Thu Nov 06 20",94
"Thu Nov 06 21",37
"Thu Nov 06 22",64
"Thu Nov 06 23",20
"Thu Nov 13 10",2
"Thu Nov 13 11",20
"Thu Nov 13 12",10
"Thu Nov 13 16",9
"Thu Nov 13 17",25340
"Thu Nov 13 18",1
"Thu Nov 13 19",3599
"Thu Nov 13 20",2704
"Tue Nov 04 09",26
"Tue Nov 04 10",19
"Tue Nov 04 12",131
"Tue Nov 04 13",18
"Tue Nov 04 17",11
"Tue Nov 04 18",19
"Tue Nov 11 09",3
"Tue Nov 11 10",3
"Tue Nov 11 15",3
"Tue Nov 11 17",157
"Tue Nov 11 18",12
"Tue Nov 11 20",2
"Tue Nov 11 22",4
"Wed Nov 05 13",1
"Wed Nov 05 16",24
"Wed Nov 05 17",3
"Wed Nov 05 18",14
"Wed Nov 05 19",4
"Wed Nov 05 20",8
"Wed Nov 05 21",41
"Wed Nov 05 22",126
"Wed Nov 05 23",10
"Wed Nov 12 17",5
"Wed Nov 12 18",8
"Wed Nov 12 19",28
"Wed Nov 12 20",13
"Wed Nov 12 21",2
"Wed Nov 12 22",4
"Wed Nov 12 23",7
